"model_ref","workflow_file","node_label"
"flux.1_schnell_8x8_e4m3fn-marduk191.safetensors","workflows\flux-schnell-fast-workflow-cabin-enhanced.json","CheckpointLoaderSimple"
"flux.1_schnell_8x8_e4m3fn-marduk191.safetensors","workflows\ComfyUI_00231_bear_snow_e2.json","CheckpointLoaderSimple"
"flux.1_schnell_8x8_e4m3fn-marduk191.safetensors","workflows\flux-schnell-fast-workflow-cabin-enhanced-reorg.json","CheckpointLoaderSimple"
"flux.1_schnell_8x8_e4m3fn-marduk191.safetensors","workflows\bundeled_schnell_claude.json","CheckpointLoaderSimple"
"flux.1_schnell_8x8_e4m3fn-marduk191.safetensors","workflows\flux-schnell-fast-workflow-SLOW1st-office-atNight.json","CheckpointLoaderSimple"
"flux.1_schnell_8x8_e4m3fn-marduk191.safetensors","png-outputs\ComfyUI_00022_.png","Load Checkpoint (CheckpointLoaderSimple)"
"flux.1_schnell_8x8_e4m3fn-marduk191.safetensors","png-outputs\ComfyUI_00021_.png","Load Checkpoint (CheckpointLoaderSimple)"
"flux.1_schnell_8x8_e4m3fn-marduk191.safetensors","workflows\UnsavedWorkflowAppearedWhenSwitchedToChrome.json","CheckpointLoaderSimple"
"flux.1_schnell_8x8_e4m3fn-marduk191.safetensors","workflows\flux-schnell-fast-workflow-SLOW1st-office.json","CheckpointLoaderSimple"
"flux.1_schnell_8x8_e4m3fn-marduk191.safetensors","workflows\flux-schnell-fast-workflow.json","CheckpointLoaderSimple"
"flux.1_schnell_8x8_e4m3fn-marduk191.safetensors","workflows\GlassBottlesAnimals.json","CheckpointLoaderSimple"
"flux.1_schnell_8x8_e4m3fn-marduk191.safetensors","png-outputs\ComfyUI_00023_.png","Load Checkpoint (CheckpointLoaderSimple)"
"flux.1_schnell_8x8_e4m3fn-marduk191.safetensors","png-outputs\ComfyUI_00060_.png","Load Checkpoint (CheckpointLoaderSimple)"
"flux.1_schnell_8x8_e4m3fn-marduk191.safetensors","png-outputs\ComfyUI_00246_.png","Load Checkpoint (CheckpointLoaderSimple)"
"flux.1_schnell_8x8_e4m3fn-marduk191.safetensors","png-outputs\ComfyUI_00031_.png","Load Checkpoint (CheckpointLoaderSimple)"
"flux.1_schnell_8x8_e4m3fn-marduk191.safetensors","png-outputs\ComfyUI_00136_.png","Load Checkpoint (CheckpointLoaderSimple)"
"flux.1_schnell_8x8_e4m3fn-marduk191.safetensors","png-outputs\ComfyUI_00061_.png","Load Checkpoint (CheckpointLoaderSimple)"
"flux.1_schnell_8x8_e4m3fn-marduk191.safetensors","png-outputs\ComfyUI_00217_.png","Load Checkpoint (CheckpointLoaderSimple)"
