"model_ref","workflow_file","node_label"
"SDXL-TURBO\sd_xl_turbo_1.0_fp16.safetensors","workflows\Test5090.json","CheckpointLoaderSimple"
"seedvr2_ema_7b_fp8_e4m3fn_mixed_block35_fp16.safetensors","workflows\5 SeedVR2 Upscale.json","SeedVR2LoadDiTModel"
"segmentation_mask_brushnet_ckpt.safetensors","workflows\FaceLock2.json","BrushNetLoader"
"sigclip_vision_patch14_384.safetensors","workflows\Flux1 Redux Two Image + Prompt.json","CLIPVisionLoader"
"svd_xt.safetensors","workflows\workflow-hyper-realistic-face-swap-NHak5yfr3oLLrQMY0Ogc-iahmedabdelnaby-openart.ai.json","ImageOnlyCheckpointLoader"
"t2iadapter_zoedepth_sd15v1.pth","workflows\workflow-controlnet-depth-F53UyK70KGj2KrL8whYa-openart-openart.ai.json","ControlNetLoader"
"t2iadapter_zoedepth_sd15v1.pth","workflows\workflow-multiple-controlnets-3HIfLiwaT2UoruwUI5Bm-openart-openart.ai.json","ControlNetLoader"
"t5xxl_fp8.safetensors","workflows\Flux1 Redux Two Image + Prompt.json","DualCLIPLoader"
"t5xxl_fp8_e4m3fn_scaled.safetensors","workflows\WorksButSlow.json","DualCLIPLoader"
"t5xxl_fp8_e4m3fn_scaled.safetensors","png-outputs\ComfyUI_00002_.png","DualCLIPLoader"
"turbovisionxlSuperFastXLBasedOnNew_tvxlV431Bakedvae.safetensors","workflows\workflow-hyper-realistic-face-swap-NHak5yfr3oLLrQMY0Ogc-iahmedabdelnaby-openart.ai.json","CheckpointLoaderSimple"
"umt5_xxl_fp8_e4m3fn_scaled.safetensors","workflows-png\WanWoman.png","Load CLIP (CLIPLoader)"
"v1-5-pruned-emaonly.ckpt","workflows\workflow-basic-outpainting-workflow-4UymtsV7TcfpZPHPgIpd-openart-openart.ai.json","CheckpointLoaderSimple"
"vae-ft-mse-840000-ema-pruned.safetensors","workflows\workflow-controlnet-canny-azMlEKGzcKLyaqOQh0IF-openart-openart.ai.json","VAELoader"
"vae-ft-mse-840000-ema-pruned.safetensors","workflows\workflow-clip-skip-workflow-S6PuWxBpXPB9PxSMhgUb-openart-openart.ai.json","VAELoader"
"vae-ft-mse-840000-ema-pruned.safetensors","workflows\workflow-controlnet-depth-F53UyK70KGj2KrL8whYa-openart-openart.ai.json","VAELoader"
"vae-ft-mse-840000-ema-pruned.safetensors","workflows\workflow-controlnet-dwpose-N0SW9f1D4jxa523lElvm-openart-openart.ai.json","VAELoader"
"vae-ft-mse-840000-ema-pruned.safetensors","workflows\workflow-basic-outpainting-workflow-4UymtsV7TcfpZPHPgIpd-openart-openart.ai.json","VAELoader"
"vae-ft-mse-840000-ema-pruned.safetensors","workflows\workflow-batch-generation-workflow-YibsziaM9wW4Oze1iDwP-openart-openart.ai.json","VAELoader"
"vae-ft-mse-840000-ema-pruned.safetensors","workflows\workflow-basic-ipadapter-8H0mGG5dOFQCuslp2qQv-openart-openart.ai.json","VAELoader"
"vae-ft-mse-840000-ema-pruned.safetensors","workflows\workflow-basic-lora-workflow-7YARVB8mANBPGbzqpWfV-openart-openart.ai.json","VAELoader"
"vae-ft-mse-840000-ema-pruned.safetensors","workflows\workflow-basic-inpainting-workflow-Sb5QYi1ulD0syTUWNZHw-openart-openart.ai.json","VAELoader"
"vae-ft-mse-840000-ema-pruned.safetensors","workflows\workflow-basic-second-pass-workflow-VSXSMBLJzsoy0Jb8qLIV-openart-openart.ai.json","VAELoader"
"vae-ft-mse-840000-ema-pruned.safetensors","workflows\workflow-basic-sd15-vae-workflow-XlPv7Qz9U3wOIDn5vSxM-openart-openart.ai.json","VAELoader"
"vae-ft-mse-840000-ema-pruned.safetensors","workflows\workflow-controlnet-openpose-HUKMExPFEUjnOyG7Cj4a-openart-openart.ai.json","VAELoader"
"vae-ft-mse-840000-ema-pruned.safetensors","workflows\workflow-latent-upscale-workflow-evHHfZAR0ihgLJlPc4Eu-openart-openart.ai.json","VAELoader"
"vae-ft-mse-840000-ema-pruned.safetensors","workflows\workflow-ipadapter-masking-pz0rXAidFCTK2EEmUB1X-openart-openart.ai.json","VAELoader"
"vae-ft-mse-840000-ema-pruned.safetensors","workflows\workflow-model-based-pixel-upscale-workflow-V6horzh1YQN8Pz5rJXzP-openart-openart.ai.json","VAELoader"
"vae-ft-mse-840000-ema-pruned.safetensors","workflows\workflow-multiple-controlnets-3HIfLiwaT2UoruwUI5Bm-openart-openart.ai.json","VAELoader"
"vae-ft-mse-840000-ema-pruned.safetensors","workflows\workflow-ipadapter-face-XawUsrzeX2ost6XiVtNP-openart-openart.ai.json","VAELoader"
"vae-ft-mse-840000-ema-pruned.safetensors","workflows\workflow-ipadapter-batches-uxH7XEmMuKTAC0sfr8s1-openart-openart.ai.json","VAELoader"
"vae-ft-mse-840000-ema-pruned.safetensors","workflows\workflow-ipadapter-inpainting-SwnT5jEA2mQ9l76l4oTi-openart-openart.ai.json","VAELoader"
"vae-ft-mse-840000-ema-pruned.safetensors","workflows\workflow-pixel-upscale-workflow-REGMkdFKDcRg4RkpMzvG-openart-openart.ai.json","VAELoader"
"wan_2.1_vae.safetensors","workflows-png\WanWoman.png","Load VAE (VAELoader)"
"Wan2.2-T2V-A14B-LowNoise-Q8_0.gguf","workflows-png\WanWoman.png","Unet Loader (GGUF) (UnetLoaderGGUF)"
"XL\animagine-xl-3.1.safetensors","workflows\workflow-photos-to-manga-style-3CTEJ480CyJ6QNruEcvy-norsizu-openart.aiM.json","CheckpointLoaderSimple"
"XL\animagine-xl-3.1.safetensors","workflows\workflow-photos-to-manga-style-3CTEJ480CyJ6QNruEcvy-norsizu-openart.ai.json","CheckpointLoaderSimple"
"XL\diffusers_xl_depth_full.safetensors","workflows\workflow-photos-to-manga-style-3CTEJ480CyJ6QNruEcvy-norsizu-openart.ai.json","ControlNetLoader"
"XL\diffusers_xl_depth_full.safetensors","workflows\workflow-photos-to-manga-style-3CTEJ480CyJ6QNruEcvy-norsizu-openart.aiM.json","ControlNetLoader"
"z_image_turbo-Q8_0.gguf","workflows\z-image-gguf-example_workflow_mod_i_anime_boys.json","UnetLoaderGGUF"
"z_image_turbo-Q8_0.gguf","png-outputs\ComfyUI_00279_.png","Unet Loader (GGUF) (UnetLoaderGGUF)"
"z_image_turbo-Q8_0.gguf","png-outputs\ComfyUI_00355_.png","Unet Loader (GGUF) (UnetLoaderGGUF)"
"z_image_turbo-Q8_0.gguf","png-outputs\ComfyUI_00017_.png","Unet Loader (GGUF) (UnetLoaderGGUF)"
"z_image_turbo-Q8_0.gguf","png-outputs\ComfyUI_00015_.png","Unet Loader (GGUF) (UnetLoaderGGUF)"
"z_image_turbo-Q8_0.gguf","png-outputs\ComfyUI_00001_ copy.png","Unet Loader (GGUF) (UnetLoaderGGUF)"
"z_image_turbo-Q8_0.gguf","png-outputs\ComfyUI_00003_.png","Unet Loader (GGUF) (UnetLoaderGGUF)"
"z_image_turbo-Q8_0.gguf","png-outputs\ComfyUI_00016_.png","Unet Loader (GGUF) (UnetLoaderGGUF)"
"z_image_turbo-Q8_0.gguf","workflows\z-image-gguf-example_workflow.json","UnetLoaderGGUF"
"z_image_turbo-Q8_0.gguf","workflows\z-image-gguf-example_workflow_mod.json","UnetLoaderGGUF"
"z_image_turbo-Q8_0.gguf","workflows\z-image-gguf-example_workflow_mod_i.json","UnetLoaderGGUF"
"z_image-Q5_K_S.gguf","workflows\230c CreateImage - Vantage-Z-Image.json","UnetLoaderGGUF"
"z_image-Q5_K_S.gguf","workflows\Vantage-Z-Image.json","UnetLoaderGGUF"
