"category","sub_folder","filename","extension","size_gb","size_mb","size_bytes","file_date","full_path","relative_path"
"diffusion_models","FLUX","flux1-dev.safetensors","safetensors","22.168","22700.2","23802932552","2026-01-12 14:59","C:\ComfyUI_Models\models\diffusion_models\FLUX\flux1-dev.safetensors","diffusion_models\FLUX\flux1-dev.safetensors"
"diffusion_models","FLUX_Fill","flux1-fill-dev.safetensors","safetensors","22.17","22702.1","23804922408","2026-01-11 15:34","C:\ComfyUI_Models\models\diffusion_models\FLUX_Fill\flux1-fill-dev.safetensors","diffusion_models\FLUX_Fill\flux1-fill-dev.safetensors"
"diffusion_models","FLUX1_Kontext","flux1-kontext-dev.safetensors","safetensors","22.168","22700.3","23802947360","2026-01-14 15:35","C:\ComfyUI_Models\models\diffusion_models\FLUX1_Kontext\flux1-kontext-dev.safetensors","diffusion_models\FLUX1_Kontext\flux1-kontext-dev.safetensors"
"diffusion_models","FLUX1_Kontext","flux1-kontext-dev-fp8-e4m3fn.safetensors","safetensors","11.084","11350.2","11901540704","2026-01-16 14:30","C:\ComfyUI_Models\models\diffusion_models\FLUX1_Kontext\flux1-kontext-dev-fp8-e4m3fn.safetensors","diffusion_models\FLUX1_Kontext\flux1-kontext-dev-fp8-e4m3fn.safetensors"
"diffusion_models","FLUX2","flux2_dev_fp8mixed.safetensors","safetensors","33.021","33813.1","35455599592","2026-01-01 14:52","C:\ComfyUI_Models\models\diffusion_models\FLUX2\flux2_dev_fp8mixed.safetensors","diffusion_models\FLUX2\flux2_dev_fp8mixed.safetensors"
"diffusion_models","FLUX2","flux-2-klein-4b-fp8.safetensors","safetensors","3.791","3882.1","4070624520","2026-02-09 23:27","C:\ComfyUI_Models\models\diffusion_models\FLUX2\flux-2-klein-4b-fp8.safetensors","diffusion_models\FLUX2\flux-2-klein-4b-fp8.safetensors"
"diffusion_models","FLUX2","flux-2-klein-9b-fp8mixed.safetensors","safetensors","8.785","8996.1","9433065776","2026-02-09 23:38","C:\ComfyUI_Models\models\diffusion_models\FLUX2\flux-2-klein-9b-fp8mixed.safetensors","diffusion_models\FLUX2\flux-2-klein-9b-fp8mixed.safetensors"
"diffusion_models","FLUX2","flux-2-klein-9b-kv-fp8.safetensors","safetensors","9.145","9364.1","9818935984","2026-03-18 20:35","C:\ComfyUI_Models\models\diffusion_models\FLUX2\flux-2-klein-9b-kv-fp8.safetensors","diffusion_models\FLUX2\flux-2-klein-9b-kv-fp8.safetensors"
"diffusion_models","FLUX2","flux-2-klein-base-9b.safetensors","safetensors","16.91","17316","18157185168","2026-03-10 00:17","C:\ComfyUI_Models\models\diffusion_models\FLUX2\flux-2-klein-base-9b.safetensors","diffusion_models\FLUX2\flux-2-klein-base-9b.safetensors"
"diffusion_models","FLUX2","flux-2-klein-base-9b-fp8.safetensors","safetensors","8.91","9124.1","9567278472","2026-03-10 00:05","C:\ComfyUI_Models\models\diffusion_models\FLUX2\flux-2-klein-base-9b-fp8.safetensors","diffusion_models\FLUX2\flux-2-klein-base-9b-fp8.safetensors"
